text,rel_size,bold,indent,caps,numbered,line_len,page,y0_pos,font_hash,label
Pancakes,1.0,1,0.12,0.125,0,8,1,0.8815649890899658,2725459171,H1
Ingredients:,1.0,1,0.12,0.08333333333333333,0,12,1,0.8631149768829346,2725459171,BODY
1 cup all-purpose flour,1.0,0,0.18,0.0,1,23,1,0.8445449638366699,175178340,BODY
2 tablespoons sugar,1.0,0,0.18,0.0,1,19,1,0.826095027923584,175178340,BODY
1 teaspoon baking powder,1.0,0,0.18,0.0,1,24,1,0.8076450157165528,175178340,BODY
1/2 teaspoon baking soda,1.0,0,0.18,0.0,0,24,1,0.7891950035095214,175178340,BODY
1/4 teaspoon salt,1.0,0,0.18,0.0,0,17,1,0.7707449913024902,175178340,BODY
1 cup buttermilk,1.0,0,0.18,0.0,1,16,1,0.752294979095459,175178340,BODY
1 large egg,1.0,0,0.18,0.0,1,11,1,0.7338449668884277,175178340,BODY
2 tablespoons melted butter,1.0,0,0.18,0.0,1,27,1,0.7153950309753419,175178340,BODY
1 teaspoon vanilla extract,1.0,0,0.18,0.0,1,26,1,0.6969450187683105,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,1,0.6785400199890137,2725459171,BODY
"In a bowl, whisk together flour, sugar, baking powder, baking soda, and salt.",1.0,0,0.18,0.012987012987012988,0,77,1,0.6600450134277344,175178340,BODY
"In another bowl, combine buttermilk, egg, melted butter, and vanilla extract.",1.0,0,0.18,0.012987012987012988,0,77,1,0.6415950012207031,175178340,BODY
Pour the wet ingredients into the dry ingredients and stir until just combined.,1.0,0,0.18,0.012658227848101266,0,79,1,0.6231450271606446,175178340,BODY
Heat a non-stick skillet over medium heat and lightly grease it.,1.0,0,0.18,0.015625,0,64,1,0.6046950149536133,175178340,BODY
Pour 1/4 cup of batter onto the skillet for each pancake.,1.0,0,0.18,0.017543859649122806,0,57,1,0.586245002746582,175178340,BODY
"Cook until bubbles form on the surface, then flip and cook until golden brown.",1.0,0,0.18,0.01282051282051282,0,78,1,0.5677950286865234,175178340,BODY
Serve with syrup and your favorite toppings.,1.0,0,0.18,0.022727272727272728,0,44,1,0.5493450164794922,175178340,BODY
Scrambled Eggs,1.0,1,0.12,0.14285714285714285,0,14,1,0.47551498413085935,2725459171,H1
Ingredients:,1.0,1,0.12,0.08333333333333333,0,12,1,0.4570649719238281,2725459171,BODY
4 large eggs,1.0,0,0.18,0.0,1,12,1,0.4385700225830078,175178340,BODY
1/4 cup milk,1.0,0,0.18,0.0,0,12,1,0.42012001037597657,175178340,BODY
Salt and pepper to taste,1.0,0,0.18,0.041666666666666664,0,24,1,0.40166999816894533,175178340,BODY
1 tablespoon butter,1.0,0,0.18,0.0,1,19,1,0.3832200241088867,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,1,0.3648149871826172,2725459171,BODY
"In a bowl, whisk together eggs, milk, salt, and pepper.",1.0,0,0.18,0.01818181818181818,0,55,1,0.34624496459960935,175178340,BODY
Heat a non-stick skillet over medium heat and melt the butter.,1.0,0,0.18,0.016129032258064516,0,62,1,0.32779502868652344,175178340,BODY
Pour the egg mixture into the skillet.,1.0,0,0.18,0.02631578947368421,0,38,1,0.3093450164794922,175178340,BODY
"Cook, stirring gently, until the eggs are set but still soft.",1.0,0,0.18,0.01639344262295082,0,61,1,0.29089500427246096,175178340,BODY
Serve immediately.,1.0,0,0.18,0.05555555555555555,0,18,1,0.2724449920654297,175178340,BODY
French Toast,1.0,1,0.12,0.16666666666666666,0,12,1,0.19861503601074218,2725459171,H1
Ingredients:,1.0,1,0.12,0.08333333333333333,0,12,1,0.18016502380371094,2725459171,BODY
4 slices of bread,1.0,0,0.18,0.0,1,17,1,0.1616699981689453,175178340,BODY
2 large eggs,1.0,0,0.18,0.0,1,12,1,0.14321998596191407,175178340,BODY
1/2 cup milk,1.0,0,0.18,0.0,0,12,1,0.12476997375488282,175178340,BODY
1 teaspoon vanilla extract,1.0,0,0.18,0.0,1,26,1,0.10632003784179687,175178340,BODY
1/2 teaspoon ground cinnamon,1.0,0,0.18,0.0,0,28,2,0.8815199851989746,175178340,BODY
1 tablespoon butter,1.0,0,0.18,0.0,1,19,2,0.8630699729919433,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,2,0.8446649646759034,2725459171,BODY
"In a shallow dish, whisk together eggs, milk, vanilla extract, and cinnamon.",1.0,0,0.18,0.013157894736842105,0,76,2,0.8261700248718262,175178340,BODY
"Dip each slice of bread into the egg mixture, coating both sides.",1.0,0,0.18,0.015384615384615385,0,65,2,0.8077200126647949,175178340,BODY
Heat a non-stick skillet over medium heat and melt the butter.,1.0,0,0.18,0.016129032258064516,0,62,2,0.7892700004577636,175178340,BODY
Cook the bread slices until golden brown on both sides.,1.0,0,0.18,0.01818181818181818,0,55,2,0.7708199882507324,175178340,BODY
Serve with syrup and powdered sugar.,1.0,0,0.18,0.027777777777777776,0,36,2,0.7523699760437011,175178340,BODY
Smoothie Bowl,1.0,1,0.12,0.15384615384615385,0,13,2,0.6785400199890137,2725459171,H1
Ingredients:,1.0,1,0.11999998728434245,0.08333333333333333,0,12,2,0.6600149917602539,2725459171,BODY
1 banana,1.0,0,0.18,0.0,1,8,2,0.6415200042724609,175178340,BODY
1/2 cup frozen berries,1.0,0,0.18,0.0,0,22,2,0.6230700302124024,175178340,BODY
1/2 cup Greek yogurt,1.0,0,0.18,0.05,0,20,2,0.6046200180053711,175178340,BODY
1/4 cup milk,1.0,0,0.18,0.0,0,12,2,0.5861700057983399,175178340,BODY
"Toppings: granola, fresh fruit, nuts, seeds",1.0,0,0.18,0.023255813953488372,0,43,2,0.5677200317382812,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,2,0.5493149948120117,2725459171,BODY
"In a blender, combine banana, frozen berries, Greek yogurt, and milk.",1.0,0,0.18,0.028985507246376812,0,69,2,0.5308200073242187,175178340,BODY
Blend until smooth.,1.0,0,0.18,0.05263157894736842,0,19,2,0.5123700332641602,175178340,BODY
"Pour into a bowl and top with granola, fresh fruit, nuts, and seeds.",1.0,0,0.18,0.014705882352941176,0,68,2,0.4939200210571289,175178340,BODY
Avocado Toast,1.0,1,0.12,0.15384615384615385,0,13,2,0.4200899887084961,2725459171,H1
Ingredients:,1.0,1,0.12,0.08333333333333333,0,12,2,0.4015649795532227,2725459171,BODY
2 slices of bread,1.0,0,0.18,0.0,1,17,2,0.3830700302124023,175178340,BODY
1 ripe avocado,1.0,0,0.18,0.0,1,14,2,0.3646200180053711,175178340,BODY
Salt and pepper to taste,1.0,0,0.18,0.041666666666666664,0,24,2,0.3461699676513672,175178340,BODY
"Optional toppings: cherry tomatoes, red pepper flakes, poached egg",1.0,0,0.18,0.015151515151515152,0,66,2,0.32772003173828124,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,2,0.3093150329589844,2725459171,BODY
Toast the bread slices.,1.0,0,0.18,0.043478260869565216,0,23,2,0.29082000732421875,175178340,BODY
Mash the avocado in a bowl and season with salt and pepper.,1.0,0,0.18,0.01694915254237288,0,59,2,0.2723699951171875,175178340,BODY
Spread the mashed avocado on the toast.,1.0,0,0.18,0.02564102564102564,0,39,2,0.25392005920410154,175178340,BODY
Add optional toppings if desired.,1.0,0,0.18,0.030303030303030304,0,33,2,0.2354700469970703,175178340,BODY
Breakfast Burrito,1.0,1,0.12,0.11764705882352941,0,17,2,0.1616400146484375,2725459171,H1
Ingredients:,1.0,1,0.12000001271565755,0.08333333333333333,0,12,2,0.14311500549316405,2725459171,BODY
2 large eggs,1.0,0,0.18,0.0,1,12,2,0.12461997985839844,175178340,BODY
1/4 cup shredded cheese,1.0,0,0.18,0.0,0,23,2,0.1061700439453125,175178340,BODY
1/4 cup cooked sausage or bacon,1.0,0,0.18,0.0,0,31,3,0.8815199851989746,175178340,BODY
1/4 cup diced bell pepper,1.0,0,0.18,0.0,0,25,3,0.8630699729919433,175178340,BODY
1/4 cup diced onion,1.0,0,0.18,0.0,0,19,3,0.8446199607849121,175178340,BODY
1 large flour tortilla,1.0,0,0.18,0.0,1,22,3,0.8261700248718262,175178340,BODY
Salsa for serving,1.0,0,0.18,0.058823529411764705,0,17,3,0.8077200126647949,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,3,0.7893150138854981,2725459171,BODY
"In a bowl, whisk the eggs and cook them in a skillet over medium heat.",1.0,0,0.18,0.014285714285714285,0,70,3,0.7708199882507324,175178340,BODY
"Add cheese, sausage or bacon, bell pepper, and onion to the eggs.",1.0,0,0.18,0.015384615384615385,0,65,3,0.7523699760437011,175178340,BODY
Cook until the eggs are set and the vegetables are tender.,1.0,0,0.18,0.017241379310344827,0,58,3,0.7339199638366699,175178340,BODY
Place the egg mixture in the center of the tortilla and roll it up.,1.0,0,0.18,0.014925373134328358,0,67,3,0.7154700279235839,175178340,BODY
Serve with salsa.,1.0,0,0.18,0.058823529411764705,0,17,3,0.6970200157165527,175178340,BODY
Oatmeal,1.0,1,0.12,0.14285714285714285,0,7,3,0.6231899642944336,2725459171,H1
Ingredients:,1.0,1,0.12,0.08333333333333333,0,12,3,0.6046649551391602,2725459171,BODY
1 cup rolled oats,1.0,0,0.18,0.0,1,17,3,0.5861700057983399,175178340,BODY
2 cups water or milk,1.0,0,0.18,0.0,1,20,3,0.5677200317382812,175178340,BODY
1/4 teaspoon salt,1.0,0,0.18,0.0,0,17,3,0.54927001953125,175178340,BODY
"Toppings: fresh fruit, nuts, honey, cinnamon",1.0,0,0.18,0.022727272727272728,0,44,3,0.5308200073242187,175178340,BODY
Instructions:,1.0,1,0.12,0.07692307692307693,0,13,3,0.5124149703979493,2725459171,BODY
"In a saucepan, bring water or milk to a boil.",1.0,0,0.18,0.022222222222222223,0,45,3,0.4939200210571289,175178340,BODY
"Add oats and salt, reduce heat to low, and simmer for 5 minutes, stirring occasionally.",1.0,0,0.18,0.011494252873563218,0,87,3,0.47547000885009766,175178340,BODY
