text,rel_size,bold,indent,caps,numbered,line_len,page,y0_pos,font_hash,label
Application form for grant of LTC advance,1.1976109403406465,1,0.3331000010172526,0.0975609756097561,0,41,0,0.9036090660095215,3049599779,TITLE
Name of the Government Servant,1.0,0,0.1599976094563802,0.1,0,30,0,0.8715631103515625,3999921036,BODY
Designation,1.0,0,0.1599976094563802,0.09090909090909091,0,11,0,0.8489926147460938,3999921036,BODY
Date of entering the Central Government,1.0,0,0.1599976094563802,0.07692307692307693,0,39,0,0.8263490295410156,3999921036,BODY
Service,1.0,0,0.1599976094563802,0.14285714285714285,0,7,0,0.8043753814697265,3999921036,BODY
PAY + SI + NPA,1.0,0,0.1599976094563802,0.5714285714285714,0,14,0,0.7817318725585938,3999921036,BODY
Whether permanent or temporary,1.0,0,0.1599976094563802,0.03333333333333333,0,30,0,0.759161376953125,3999921036,BODY
Home Town as recorded in the Service Book Whether wife / husband is employed and if,1.0,0,0.1599976094563802,0.060240963855421686,0,83,0,0.7212068939208984,3999921036,BODY
so whether entitled to LTC,1.0,0,0.1599976094563802,0.11538461538461539,0,26,0,0.6992332458496093,3999921036,BODY
Whether the concession is to be availed for,1.0,0,0.1599976094563802,0.023255813953488372,0,43,0,0.6765775299072265,3999921036,BODY
visiting home town and if so block for which,1.0,0,0.1599976094563802,0.0,0,44,0,0.6546038818359375,3999921036,BODY
LTC is to be availed.,1.0,0,0.1599976094563802,0.14285714285714285,0,21,0,0.6325571823120117,3999921036,BODY
(a) If the concession is to visit anywhere in,1.0,0,0.1599976094563802,0.022222222222222223,0,45,0,0.6099867248535156,3999921036,BODY
"India, the place to be visited.",1.0,0,0.1599976094563802,0.03225806451612903,0,31,0,0.5879400253295899,3999921036,BODY
(b) Block for which to be availed.,1.0,0,0.1599976094563802,0.029411764705882353,0,34,0,0.5659664154052735,3999921036,BODY
Single rail fare/bus fare from the,1.0,0,0.1599976094563802,0.029411764705882353,0,34,0,0.5433106994628907,3999921036,BODY
headquarters to home town/place of visit by,1.0,0,0.1599976094563802,0.0,0,43,0,0.5213370895385743,3999921036,BODY
10.,1.0,1,0.11669999440511068,0.0,0,3,0,0.5175854873657226,3212130550,BODY
shortest route.,1.0,0,0.1599976094563802,0.0,0,15,0,0.4993634796142578,3999921036,BODY
Persons in respect of whom LTC is proposed to be availed.,1.0,0,0.1599976094563802,0.07017543859649122,0,57,0,0.4766346740722656,3999921036,BODY
S.No Name Age Relationship,1.0,1,0.1599976094563802,0.19230769230769232,0,26,0,0.4577305221557617,3212130550,BODY
11.,1.0,1,0.11669999440511068,0.0,0,3,0,0.4145384979248047,3212130550,BODY
Rs.,1.0,0,0.5073204549153646,0.3333333333333333,0,3,0,0.33638839721679686,3999921036,BODY
12. Amount of advance required.,1.0,1,0.11671615600585937,0.03225806451612903,0,31,0,0.3290435028076172,2320323243,BODY
I declare that the particulars furnished above are true and correct to the best of my knowledge. I,1.0,0,0.17511761983235677,0.02040816326530612,0,98,0,0.291759033203125,3999921036,BODY
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,1.0,0,0.11671610514322917,0.0,0,99,0,0.2771302795410156,3999921036,BODY
